
Customer Id,Age,Income,Years Employed,DebtIncomeRatio,Defaulted,Edu

1,25,50000,3,0.1,0,4
2,45,100000,20,0.3,1,6
3,35,75000,10,0.25,0,5
4,50,120000,25,0.35,0,7
5,23,40000,2,0.15,1,3
6,33,82000,8,0.28,0,5
7,40,95000,15,0.4,0,6
8,29,67000,5,0.22,1,4
9,55,150000,30,0.45,0,8
10,37,92000,12,0.3,0,6
11,48,110000,22,0.32,0,7
12,27,58000,4,0.18,1,4
13,43,98000,18,0.34,0,6
14,38,87000,13,0.28,0,6
15,24,45000,2,0.14,1,3
16,32,80000,7,0.25,0,5
17,46,105000,20,0.31,0,7
18,28,62000,4,0.2,1,4
19,30,71000,6,0.22,0,4
20,50,130000,25,0.37,0,7
21,26,55000,3,0.16,1,4
22,35,77000,10,0.26,0,5
23,42,97000,17,0.33,0,6
24,31,78000,7,0.24,0,5
25,29,68000,5,0.21,1,4
26,47,108000,20,0.3,0,7
27,39,88000,14,0.29,0,6
28,34,81000,9,0.27,0,5
29,41,93000,16,0.32,0,6
30,53,140000,28,0.4,0,8
31,44,102000,19,0.31,0,6
32,36,86000,11,0.27,0,5
33,49,115000,22,0.35,0,7
34,25,49000,3,0.17,1,4
35,37,91000,12,0.29,0,6
36,28,63000,4,0.23,1,4
37,33,82000,8,0.27,0,5
38,30,72000,6,0.21,0,4
39,50,125000,25,0.36,0,7
40,45,101000,20,0.3,0,6
41,23,41000,2,0.13,1,3
42,32,79000,7,0.26,0,5
43,38,85000,13,0.28,0,6
44,47,106000,20,0.32,0,7
45,27,56000,4,0.17,1,4
46,35,76000,10,0.24,0,5
47,31,75000,7,0.22,0,5
48,39,87000,14,0.28,0,6
49,42,96000,17,0.33,0,6
50,29,69000,5,0.21,1,4
